,time,loss,sqr res,norm cond,orthogon cond,bound cond,Rayleigh0,Rayleigh1,Rayleigh2,Rayleigh3,Rayleigh4,Rayleigh5,Rayleigh6,Rayleigh7,Rayleigh8,sqr_res_per_state0,sqr_res_per_state1,sqr_res_per_state2,sqr_res_per_state3,sqr_res_per_state4,sqr_res_per_state5,sqr_res_per_state6,sqr_res_per_state7,sqr_res_per_state8
0,2.3629560470581055,3582.907958984375,40.74549865722656,0.5101937651634216,20.350229263305664,23.231027603149414,4.090826034545898,4.4461140632629395,4.165459156036377,4.182371616363525,4.584778785705566,3.540863513946533,4.107819080352783,4.318318843841553,4.118021488189697,4.0235676765441895,4.136559963226318,4.192789554595947,4.372272968292236,5.886903285980225,4.701074123382568,4.186514854431152,4.6298346519470215,4.61598014831543
1,2.9173660278320312,3071.437255859375,51.07147979736328,0.5065060257911682,17.226774215698242,18.320171356201172,4.257375240325928,4.6106648445129395,4.211346626281738,4.202853679656982,4.941452503204346,3.5292599201202393,4.153607368469238,4.473437309265137,4.471584796905518,4.958306312561035,5.449099540710449,5.2670793533325195,5.269848823547363,7.501821994781494,5.400741100311279,5.009969711303711,5.779260635375977,6.435356140136719
2,3.514580011367798,2693.4130859375,62.86538314819336,0.5025569200515747,14.532045364379883,14.42062759399414,4.440089225769043,4.776943683624268,4.378411293029785,4.290429592132568,5.207276344299316,3.631287097930908,4.318011283874512,4.710145950317383,4.883492469787598,5.9013471603393555,7.002198219299316,6.398897647857666,6.4195332527160645,9.35666275024414,6.298803806304932,5.7584099769592285,6.986558437347412,8.742974281311035
3,4.068288803100586,2611.562744140625,73.95448303222656,0.4993624985218048,11.949055671691895,13.50905990600586,4.67584228515625,4.964313983917236,4.523881912231445,4.368346691131592,5.480556011199951,3.6344029903411865,4.4392595291137695,4.9250807762146,5.362533092498779,7.0838823318481445,8.143908500671387,7.142752170562744,7.633162021636963,10.336771965026855,7.379846096038818,6.709098815917969,8.383807182312012,11.141256332397461
4,4.660465240478516,2438.813232421875,86.61502838134766,0.4966294765472412,10.06059741973877,11.25480842590332,4.9119110107421875,5.18306827545166,4.6355671882629395,4.490689277648926,5.706947326660156,3.529747486114502,4.508752822875977,5.177327632904053,5.841662883758545,8.07348918914795,10.013428688049316,8.700336456298828,9.197901725769043,11.841094017028809,8.198145866394043,7.631614685058594,9.851289749145508,13.1077241897583
5,5.226858615875244,2375.277099609375,101.3591537475586,0.49433788657188416,8.65974235534668,9.692692756652832,5.113719463348389,5.361204147338867,4.750143051147461,4.61329460144043,5.8648810386657715,3.4736692905426025,4.5389933586120605,5.310202598571777,6.229884147644043,9.700151443481445,11.761622428894043,10.160187721252441,10.8465576171875,13.386432647705078,9.121137619018555,8.83697509765625,11.661365509033203,15.884724617004395
6,5.787652015686035,2334.426025390625,112.26615142822266,0.4924086034297943,7.550203800201416,8.627960205078125,5.30869197845459,5.3521575927734375,4.830341815948486,4.608550548553467,5.848519802093506,3.556847095489502,4.678619861602783,5.459323406219482,6.548938274383545,10.60345458984375,12.969112396240234,11.16179084777832,12.331645011901855,14.619564056396484,9.982590675354004,9.797905921936035,12.974325180053711,17.825759887695312
7,6.324499130249023,2254.111083984375,119.92667388916016,0.49093329906463623,6.935225963592529,7.294878959655762,5.442564010620117,5.422000885009766,4.914355754852295,4.742526054382324,5.979443550109863,3.5503411293029785,4.7751641273498535,5.621184825897217,6.732710361480713,10.748406410217285,13.552356719970703,11.867568969726562,13.533601760864258,15.437912940979004,10.510685920715332,10.46281623840332,14.313225746154785,19.500099182128906
8,6.868750810623169,2239.644775390625,133.06719970703125,0.4899347126483917,6.440305233001709,6.0276079177856445,5.539639472961426,5.435317516326904,4.921431541442871,4.612525463104248,6.155343532562256,3.5763282775878906,4.924969673156738,5.636034965515137,7.032236576080322,12.488615989685059,14.793643951416016,13.287811279296875,14.778491020202637,17.33089256286621,11.888936996459961,11.84306812286377,15.340537071228027,21.315196990966797
9,7.4040446281433105,2208.388916015625,141.617919921875,0.48959577083587646,6.20338773727417,4.948116302490234,5.611828327178955,5.503852367401123,4.920501232147217,4.640133857727051,6.1927924156188965,3.590747356414795,5.117529392242432,5.736561298370361,7.182748794555664,13.329277038574219,15.640612602233887,14.003711700439453,15.387561798095703,18.201725006103516,12.807791709899902,13.589914321899414,16.55539894104004,22.101926803588867
10,7.957007884979248,2156.3583984375,145.38702392578125,0.48992419242858887,6.165685653686523,4.067888259887695,5.608665943145752,5.418720245361328,4.945230484008789,4.530213356018066,6.12106466293335,3.5523595809936523,5.193332672119141,5.729581832885742,7.206675052642822,13.5033540725708,15.498551368713379,14.724089622497559,15.575728416442871,18.135377883911133,12.837263107299805,13.963382720947266,17.516569137573242,23.632705688476562
11,8.516123056411743,2118.315673828125,149.63221740722656,0.49082499742507935,6.1869707107543945,3.245792865753174,5.809921741485596,5.586846351623535,5.056208610534668,4.59641695022583,6.222990036010742,3.6701486110687256,5.212174892425537,5.749164581298828,7.264575958251953,14.274555206298828,15.470413208007812,14.802144050598145,16.060678482055664,18.7420711517334,14.165705680847168,14.22960376739502,17.893089294433594,23.993959426879883
12,9.114897966384888,2077.259521484375,147.89572143554688,0.4921432435512543,6.167054176330566,3.0189976692199707,5.787198543548584,5.60228967666626,5.024498462677002,4.550737380981445,6.2358293533325195,3.6773908138275146,5.167230606079102,5.672523021697998,7.234389781951904,13.991292953491211,15.565897941589355,14.407167434692383,15.178821563720703,18.531566619873047,14.074277877807617,13.855225563049316,17.854745864868164,24.43672752380371
13,9.702971696853638,2083.222900390625,153.2636260986328,0.49387383460998535,6.0421833992004395,2.596719741821289,5.8441996574401855,5.574350357055664,4.936496734619141,4.332711219787598,6.272515773773193,3.7322282791137695,5.088169574737549,5.529712200164795,7.146956920623779,14.5548677444458,17.122827529907227,15.567957878112793,14.454492568969727,20.413049697875977,15.097785949707031,13.589330673217773,17.597736358642578,24.86556625366211
